Instance,claspfolio
BF20_cpmp_20_5_60_24_45_5,0.0040
BF20_cpmp_20_5_60_24_45_6,0.0040
BF20_cpmp_20_5_60_24_45_7,36000.0000
BF19_cpmp_20_5_60_24_36_6,36000.0000
BF19_cpmp_20_5_60_24_36_7,0.0040
BF19_cpmp_20_5_60_24_36_5,0.0040
BF19_cpmp_20_5_60_24_36_2,0.4720
BF19_cpmp_20_5_60_24_36_3,0.0040
BF19_cpmp_20_5_60_24_36_1,36000.0000
BF4_cpmp_16_5_48_20_36_20,18.5810
cv_data3-7-17,0.1400
BF19_cpmp_20_5_60_24_36_8,36000.0000
BF19_cpmp_20_5_60_24_36_9,0.0480
BF1_cpmp_16_5_48_10_29_20,36000.0000
BF17_cpmp_20_5_60_12_36_20,0.0240
BF7_cpmp_16_5_64_26_39_17,36000.0000
BF7_cpmp_16_5_64_26_39_14,36000.0000
BF7_cpmp_16_5_64_26_39_15,3.2280
BF7_cpmp_16_5_64_26_39_12,36000.0000
BF7_cpmp_16_5_64_26_39_13,33.0980
BF7_cpmp_16_5_64_26_39_10,2.2160
BF7_cpmp_16_5_64_26_39_11,2782.8580
BF7_cpmp_16_5_64_26_39_19,945.4470
BF6_cpmp_16_5_64_13_48_19,36000.0000
BF6_cpmp_16_5_64_13_48_18,36000.0000
BF6_cpmp_16_5_64_13_48_13,114.2110
BF6_cpmp_16_5_64_13_48_12,78.4770
BF6_cpmp_16_5_64_13_48_11,3.0160
BF10_cpmp_16_8_77_16_58_13,311.8630
BF6_cpmp_16_5_64_13_48_17,2.1120
BF6_cpmp_16_5_64_13_48_16,1.0720
BF6_cpmp_16_5_64_13_48_15,133.5240
BF7_cpmp_16_5_64_26_39_8,36000.0000
BF7_cpmp_16_5_64_26_39_6,2.8320
BF7_cpmp_16_5_64_26_39_7,407.7930
BF7_cpmp_16_5_64_26_39_1,23.5700
BF7_cpmp_16_5_64_26_39_2,36000.0000
BF7_cpmp_16_5_64_26_39_3,3387.1880
LC2a_lc2a_10,0.0080
cv_data5-7-12,1146.0400
cv_data5-7-13,851.3170
cv_data5-7-11,50.8270
cv_data5-7-16,88.3060
cv_data5-7-15,78.2570
cv_data5-7-18,110.4710
cv_data5-7-19,169.8310
cv_data4-4-33,1.8480
cv_data4-4-30,1.8240
cv_data4-4-34,0.5160
cv_data4-4-35,1.6760
BF5_cpmp_16_5_64_13_39_17,0.2560
cv_data5-6-28,94.7060
cv_data5-5-7,61.0680
cv_data5-6-25,299.0550
cv_data5-6-26,1144.9320
cv_data5-6-20,1032.3370
cv_data5-6-22,102.8220
BF18_cpmp_20_5_60_12_45_12,36000.0000
BF18_cpmp_20_5_60_12_45_13,36000.0000
BF18_cpmp_20_5_60_12_45_14,0.0040
BF18_cpmp_20_5_60_12_45_15,123.6360
BF18_cpmp_20_5_60_12_45_16,0.0040
BF18_cpmp_20_5_60_12_45_17,0.0400
BF18_cpmp_20_5_60_12_45_18,0.0040
BF18_cpmp_20_5_60_12_45_19,36000.0000
cv_data5-10-19,1059.7500
cv_data5-4-31,276.9890
